Go.	Geh.
Hi.	Hallo!
Hi.	Grüß Gott!
Run!	Lauf!
Run.	Lauf!
Wow!	Potzdonner!
Wow!	Donnerwetter!
Fire!	Feuer!
Help!	Hilfe!
Help!	Zu Hülf!
Stop!	Stopp!
Wait!	Warte!
Wait.	Warte.
Begin.	Fang an.
Go on.	Mach weiter.
Hello!	Hallo!
Hurry!	Beeil dich!
Hurry!	Schnell!
I hid.	Ich versteckte mich.
I hid.	Ich habe mich versteckt.
I ran.	Ich rannte.
I see.	Ich verstehe.
I see.	Aha.
I try.	Ich probiere es.
I won!	Ich hab gewonnen!
I won!	Ich habe gewonnen!
Relax.	Entspann dich.
Shoot!	Feuer!
Shoot!	Schieß!
Smile.	Lächeln!
Ask me.	Frag mich!
Ask me.	Fragt mich!
Ask me.	Fragen Sie mich!
Attack!	Angriff!
Attack!	Attacke!
Cheers!	Zum Wohl!
Eat it.	Iss es.
Eat up.	Iss auf.
Eat up.	Iss auf!
Freeze!	Keine Bewegung!
Freeze!	Stehenbleiben!
Go now.	Geh jetzt!
Got it!	Verstanden!
Got it!	Aha!
Got it!	Ich habs!
Got it?	Kapiert?
Got it?	Verstanden?
Got it?	Einverstanden?
He ran.	Er rannte.
He ran.	Er lief.
Hop in.	Mach mit!
Hop in.	Spring rein!
Hug me.	Drück mich!
Hug me.	Nimm mich in den Arm!
Hug me.	Umarme mich!
I care.	Mir ist es wichtig.
I fell.	Ich fiel.
I fell.	Ich fiel hin.
I fell.	Ich stürzte.
I fell.	Ich bin hingefallen.
I fell.	Ich bin gestürzt.
I fled.	Ich flüchtete.
I fled.	Ich bin geflüchtet.
I know.	Ich weiß.
I lied.	Ich habe gelogen.
I lost.	Ich habe verloren.
I paid.	Ich habe bezahlt.
I paid.	Ich zahlte.
I sang.	Ich sang.
I spit.	Ich spuckte.
I spit.	Ich habe gespuckt.
I swim.	Ich schwimme.
I wept.	Ich weinte.
I wept.	Ich habe geweint.
I'm 19.	Ich bin 19 Jahre alt.
I'm 19.	Ich bin 19.
I'm OK.	Mir geht's gut.
I'm OK.	Es geht mir gut.
I'm up.	Ich bin wach.
I'm up.	Ich bin auf.
No way!	Unmöglich!
No way!	Das kommt nicht in Frage!
No way!	Das gibt’s doch nicht!
No way!	Ausgeschlossen!
No way!	In keinster Weise!
Really?	Wirklich?
Really?	Echt?
Really?	Im Ernst?
Thanks.	Danke!
Try it.	Versuch’s!
We try.	Wir versuchen es.
We won.	Wir haben gewonnen.
Why me?	Warum ich?
Ask Tom.	Frag Tom!
Ask Tom.	Fragen Sie Tom!
Ask Tom.	Fragt Tom!
Awesome!	Fantastisch!
Be cool.	Entspann dich!
Be fair.	Sei nicht ungerecht!
Be fair.	Sei fair!
Be kind.	Sei nett!
Be nice.	Sei nett!
Be nice.	Seien Sie nett!
Beat it.	Geh weg!
Beat it.	Hau ab!
Beat it.	Verschwinde!
Beat it.	Verdufte!
Beat it.	Mach dich fort!
Beat it.	Zieh Leine!
Beat it.	Mach dich vom Acker!
Beat it.	Verzieh dich!
Beat it.	Verkrümele dich!
Beat it.	Troll dich!
Beat it.	Zisch ab!
Beat it.	Pack dich!
Beat it.	Mach ’ne Fliege!
Beat it.	Schwirr ab!
Beat it.	Mach die Sause!
Beat it.	Scher dich weg!
Beat it.	Scher dich fort!
Burn it.	Verbrenne es!
Burn it.	Verbrennt es!
Burn it.	Verbrennen Sie es!
Bury it.	Vergrabe es!
Call me.	Ruf mich an.
Come in.	Komm herein.
Come in.	Herein!
Come on!	Komm!
Come on!	Kommt!
Come on!	Mach schon!
Come on!	Macht schon!
Come on.	Komm schon!
Drop it.	Fallen lassen!
Fold it.	Falte es zusammen!
Get Tom.	Hol Tom.
Get out!	Raus!
Get out!	Geht raus!
Get out.	Geh raus.
Get out.	Geht raus!
Go away!	Geh weg!
Go away!	Hau ab!
Go away!	Verschwinde!
Go away!	Verdufte!
Go away!	Mach dich fort!
Go away!	Zieh Leine!
Go away!	Mach dich vom Acker!
Go away!	Verzieh dich!
Go away!	Verkrümele dich!
Go away!	Troll dich!
Go away!	Zisch ab!
Go away!	Pack dich!
Go away!	Mach ’ne Fliege!
Go away!	Schwirr ab!
Go away!	Mach die Sause!
Go away!	Scher dich weg!
Go away!	Scher dich fort!
Go away.	Geh weg!
Go away.	Verpiss dich!
Go away.	Hau ab!
Go away.	Verschwinde!
Go away.	Verdufte!
Go away.	Mach dich fort!
Go away.	Zieh Leine!
Go away.	Mach dich vom Acker!
Go away.	Verzieh dich!
Go away.	Verkrümele dich!
Go away.	Troll dich!
Go away.	Zisch ab!
Go away.	Pack dich!
Go away.	Mach ’ne Fliege!
Go away.	Schwirr ab!
Go away.	Mach die Sause!
Go away.	Scher dich weg!
Go away.	Scher dich fort!
Go away.	Gehen Sie weg.
Go home.	Geh nach Hause.
Go home.	Geh heim.
Goodbye!	Auf Wiedersehen!
Goodbye!	Leb wohl!
Goodbye!	Tschüss!
Hang on!	Nicht nachlassen!
Hang on.	Warte!
He came.	Er kam.
He quit.	Er hat gekündigt.
He runs.	Er rennt.
He runs.	Er läuft.
Help me.	Hilf mir.
Help us.	Hilf uns!
Help us.	Helft uns!
Help us.	Helfen Sie uns!
Hi, Tom.	Hallo, Tom!
Hit Tom.	Schlage Tom!
Hit Tom.	Schlagt Tom!
Hit Tom.	Schlagen Sie Tom!
Hold it!	Nicht bewegen!
Hold it!	Warte!
Hold it.	Stehen bleiben!
Hold it.	Bleib stehen!
Hold it.	Bleiben Sie stehen!
Hold it.	Bleibt stehen!
Hold on.	Warten Sie kurz!
Hug Tom.	Umarme Tom!
Hug Tom.	Umarmen Sie Tom!
Hug Tom.	Umarmt Tom!
Hug Tom.	Drückt Tom!
Hug Tom.	Drücken Sie Tom!
Hug Tom.	Drück Tom!
I agree.	Ich bin einverstanden.
I cried.	Ich weinte.
I cried.	Ich habe geweint.
I drove.	Ich fuhr!
I drove.	Ich bin gefahren!
I froze.	Ich fror.
I froze.	Ich habe gefroren.
I snore.	Ich schnarche.
I swore.	Ich habe geschworen.
I swore.	Ich schwur.
I waved.	Ich winkte.
I waved.	Ich habe gewunken.
I'll go.	Ich gehe.
I'm bad.	Ich bin schlecht.
I'm fat.	Ich bin fett.
I'm fat.	Ich bin dick.
I'm hit!	Ich wurde getroffen!
I'm mad.	Ich bin verrückt.
I'm new.	Ich bin neu.
I'm old.	Ich bin alt.
I'm sad.	Ich bin traurig.
I'm shy.	Ich bin schüchtern.
I'm wet.	Ich bin nass.
It's OK.	Es ist in Ordnung.
It's me!	Ich bin’s.
It's me.	Ich bin’s.
Join us.	Komm mit.
Join us.	Kommt mit.
Keep it.	Behalt es!
Keep it.	Behalt ihn!
Keep it.	Behalt sie!
Keep it.	Behalten Sie ihn!
Keep it.	Behalten Sie sie!
Keep it.	Behalten Sie es!
Keep it.	Behaltet ihn!
Keep it.	Behaltet sie!
Keep it.	Behaltet es!
Kill it.	Töte es!
Kiss me.	Küsst mich.
Lie low.	Leg dich hin!
Lie low.	Hinlegen!
Lie low.	Niederlegen!
Lie low.	Leg dich nieder!
Lie low.	Legt euch nieder!
Lie low.	Legen Sie sich nieder!
Lie low.	Legt euch hin!
Lie low.	Legen Sie sich hin!
Lock it.	Schließ es ab.
Lock it.	Schließe sie ab.
Lock it.	Schließ ihn ab.
Open it.	Öffne es!
Open it.	Öffnet es!
Open it.	Öffnen Sie es!
Open up.	Mach auf!
Perfect!	Perfekt!
Pull it.	Zieh dran.
Push it.	Drück drauf.
See you!	Tschüss!
See you.	Wir sehen uns.
